1	#	CAMINHO NO XML	CAMPO	REGRAS DE NEGÓCIO PARA A NOTA FISCAL DE SERVIÇO ELETRÔNICA DO  \n SISTEMA NACIONAL NFS-e							EMISSORES PÚBLICOS NACIONAIS NFS-e \n (SEFIN, WEB, APP)			
2												EVENTOS EMITIDOS SOB CONDIÇÕES DE  \n DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) \n RNs EXECUTADAS NA GERAÇÃO DE EVENTOS PELOS \n EMISSORES PÚBLICOS NACIONAIS (SEFIN, WEB, APP) \n RNs EXECUTADAS (V) \n RNs NÃO EXECUTADAS (X)	RNs EXECUTADAS  \n NA RECEPÇÃO DE EVENTOS COMPARTILHADOS  \n PELOS MUNICÍPIOS COM O  \n ADN NFS-e (V)  \n E \n RNs NÃO EXECUTADAS (X)	EVENTOS EMITIDOS SOB CONDIÇÕES DE  \n DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) \n RNs EXECUTADAS NA GERAÇÃO DE EVENTOS PELOS \n EMISSORES PÚBLICOS NACIONAIS (SEFIN, WEB, APP) \n RNs EXECUTADAS (V) \n RNs NÃO EXECUTADAS (X)
3							EFEITO	CÓD. ERRO	MSG. ERRO
4				-			-	-	-	-	-	-	-	-	-
5		evento/	versao	O prazo de aceitação da versão do leiaute do DF-e ultrapassado.			Rej.	E1260	O prazo de aceitação da versão do leiaute do DF-e expirou.	1	V	V	V	V	-
6		evento/	infEvento	-			-	-	-	-	-	-	-	-	-
7		evento/infEvento/	id	Campo identificador do Evento (EVT) inválido. \n  \n Identificador do evento difere da concatenação dos campos correspondentes existente no leiaute evento. \n  \n A formação deste identificador considera o literal "EVT" associado a outras 59 posições numéricas,  \n conforme descrito abaixo: \n  \n "EVT" +  \n id do Pedido de Registo de Evento (56) +  \n Número sequencial do evento (nSeqEvento) (3)			Rej.	E1802	Conteúdo do identificador informado no identificador do evento difere da concatenação dos campos correspondentes.	1	V	V	V	V	-
8							Rej.	E1805	Já existe um Evento com este identificador no ADN NFS-e.	1	X	X	V	V	-
9							Rej.	E0802	Já existe um documento fiscal eletrônico identificado com este id no Sistema Nacional NFS-e.			V	X	X	-
10		evento/infEvento/	verAplic	-			-	-	-	-	-	-	-	-	-
11		evento/infEvento/	ambGer	Verificar se o ambiente gerador da NFS-e está de acordo com a definição: \n 1- Sistema Próprio do Município, para as NFS-e compartilhadas pelo município para o ADN, ou \n 2 - Sefin Nacional NFS-e, para as NFS-e emitidas pela Sefin ou recepcionadas via API "Bypass".			Rej.	E1274	O ambiente gerador da NFS-e não está de acordo com a definição 1 (Sistema Próprio do Município) ou 2 (Sefin Nacional).	1	X	X	V	V	-
12		evento/infEvento/	nSeqEvento	-			-	-	-	-	-	-	-	-	-
13		evento/infEvento/	dhProc	A data/hora do registro do evento deve ser anterior à data/hora do processamento do documento pelo Sistema Nacional NFS-e.			Rej.	E1278	A data e hora do processamento (geração) do DF-e deve ser anterior ou igual à data da recepção pelo Sistema Nacional NFS-e.	1	V	V	V	V	-
14		evento/infEvento/	nDFSe	-			-	-	-	-	-	-	-	-	-
15		evento/infEvento/	pedRegEvento	-			-	-	-	-	-	-	-	-	-
16		evento/pedRegEvento/	versao	Prazo de aceitação da versão do leiaute do pedido de registro de evento ultrapassado.			Rej.	E1825	Prazo de aceitação da versão do leiaute do pedido de registro de evento expirou.	1	V	V	V	V	-
17		evento/pedRegEvento/	infPedReg	-			-	-	-	-	-	-	-	-	-
18		evento/pedRegEvento/infPedReg/	id	Campo identificador do Pedido de Registro de Evento (PRE) inválido. \n  \n Identificador do PRE difere da concatenação dos campos correspondentes existente no leiaute do PRE. \n  \n A formação deste identificador considera o literal "PRE" associado a outras 56 posições numéricas, conforme descrito abaixo: \n  \n "PRE" +  \n Chave de acesso da NFS-e (50) + \n Código do evento (6)			Rej.	E1827	Conteúdo do identificador informado no identificador do Pedido de Registro de Evento difere da concatenação dos campos correspondentes.	1	V	V	V	V	-
19							Rej.	E1818	Não é permitido o compartilhamento pelo município com o ADN dos eventos de manifestação de NFS-e para confirmação ou rejeição pelos não emitentes de um NFS-e. Estes eventos devem ser emitidos pelos não emitentes da NFS-e diretamente no SEFIN NFS-e. \n 	1	X	X	V	V	-
20		evento/pedRegEvento/infPedReg/	tpAmb	Tipo do ambiente informado difere do ambiente utilizado.			Rej.	E1845	Ambiente informado diverge do ambiente de recebimento para o qual o emitente está enviando o evento.	1	V	V	V	V	-
21		evento/pedRegEvento/infPedReg/	verAplic	-			-	-	-	-	-	-	-	-	-
22		evento/pedRegEvento/infPedReg/	dhEvento	A data de emissão do pedido do registro do evento não pode ser posterior à data de recebimento do lote  \n em que o Evento está sendo recebido pelo Sistema Nacional NFS-e.			Rej.	E1843	A data de emissão do pedido do registro do evento não pode ser posterior à data de recebimento pelo Sistema Nacional NFS-e.	1	X	V	V	V	-
23		evento/pedRegEvento/infPedReg/	CNPJAutor	Se o autor do pedido de registro de evento for identificado por um CNPJ este deve corresponder ao mesmo CNPJ do certificado digital da assinatura, se informada no pedido.  \n  \n Verificar apenas o CNPJ base.			Rej.	E0812	O CNPJ do autor do pedido de registro de evento não corresponde à base do CNPJ informada no certificado digital da assinatura do pedido.	1	V	V	V	V	-
24							Rej.	E0813	O CNPJ autor informado no pedido de registro de evento não corresponde ao "AUTOR DO PEDIDO DE REGISTRO DE EVENTO" indicado na planilha "Tipo Eventos".	1	V	V	V	V	-
25		evento/pedRegEvento/infPedReg/	CPFAutor	Se o autor do pedido de registro de evento for identificado por um CPF este deve corresponder ao mesmo CPF do certificado digital da assinatura, se informada no pedido.			Rej.	E0815	O CPF do autor do pedido de registro de evento não corresponde ao CPF informado no certificado digital da assinatura do pedido.	1	V	V	V	V	-
26							Rej.	E0816	O CPF autor informado no pedido de registro de evento não corresponde ao "AUTOR DO PEDIDO DE REGISTRO DE EVENTO" indicado na planilha "Tipo Eventos".	1	V	V	V	V	-
27		evento/pedRegEvento/infPedReg/	chNFSe	A NFS-e indicada não existe no ADN NFS-e.			Rej.	E1831	O pedido de registro de evento não pode ser validado pois a NFS-e indicada não existe no Ambiente de Dados Nacional NFS-e.	1	V	V	V	V	-
28							Rej.	E0822	O prazo para o cancelamento da NFS-e expirou, conforme parametrização do município emissor da NFS-e.	3	V	V	X	X	-
29							Rej.	E0823	Valor da NFS-e a ser cancelada acima do permitido, conforme parametrização do município emissor da NFS-e.	3	V	V	X	X	-
30							Rej.	E0824	NFS-e sem indentificação do tomador do serviço não pode ser cancelada, conforme parametrização do município emissor da NFS-e.	3	V	V	X	X	-
31							Rej.	E0827	Não é permitido realizar um Evento de Cancelamento para NFS-e que possua Evento de Tributos Recolhidos vinculado, conforme parametrização do município de incidência do ISSQN da NFS-e.	3	V	V	X	X	-
32							Rej.	E0831	O pedido de registro deste evento de NFS-e deve ser enviado para o ambiente que gerou a NFS-e referenciada no pedido.	1	V	V	V	V	-
33							Rej.	E1833	Somente é permitido um único evento do tipo Manifestação de NFS-e (Confirmação e Rejeição), por não emitente da NFS-e indicada no evento.	1	V	V	V	V	-
34							Rej.	E1835	Somente é permitido um único evento do tipo Manifestação de NFS-e (Anulação da Rejeição) para cada Evento de Manifestação de NFS-e - Rejeição, emitido por cada possível não emitentes da NFS-e indicada pela chave de acesso.	1	V	V	V	V	-
35		evento/pedRegEvento/infPedReg/	e101101	O Sistema Nacional NFS-e deve responder à recepção do EVENTO DE CANCELAMENTO NFS-e, conforme indicado nas linhas da respectiva coluna deste evento na planilha "RN EVENTOSxEVENTOS - Sistema Nacional NFS-e".			Rej.	E0840	O Sistema Nacional NFS-e não pode recepecionar o EVENTO DE CANCELAMENTO DE NFS-e pois, o evento de <nome_evento_vinculado_a_NFS-e> já está vinculado à NFS-e indicada no evento enviado, impedindo sua recepção.	1	V	V	V	V	-
36		evento/pedRegEvento/infPedReg/e101101/	xDesc	-			-	-	-	-	-	-	-	-	-
37		evento/pedRegEvento/infPedReg/e101101/	cMotivo	-			-	-	-	-	-	-	-	-	-
38		evento/pedRegEvento/infPedReg/e101101/	xMotivo	-			-	-	-	-	-	-	-	-	-
39		evento/pedRegEvento/infPedReg/	e105102	O Sistema Nacional NFS-e deve responder à recepção do EVENTO DE CANCELAMENTO DE NFS-e POR SUBSTITUIÇÃO, conforme indicado nas linhas da respectiva coluna deste evento na planilha "RN EVENTOSxEVENTOS - Sistema Nacional NFS-e".			Rej.	E0845	O Sistema Nacional NFS-e não pode recepecionar o EVENTO DE CANCELAMENTO DE NFS-e POR SUBSTITUIÇÃO pois, o evento de <nome_evento_vinculado_a_NFS-e> já está vinculado à NFS-e indicada no evento enviado, impedindo sua recepção.	1	V	V	V	V	-
40		evento/pedRegEvento/infPedReg/e105102/	xDesc	-			-	-	-	-	-	-	-	-	-
41		evento/pedRegEvento/infPedReg/e105102/	cMotivo	-			-	-	-	-	-	-	-	-	-
42		evento/pedRegEvento/infPedReg/e105102/	xMotivo	-			-	-	-	-	-	-	-	-	-
43		evento/pedRegEvento/infPedReg/e105102/	chSubstituta	-			-	-	-	-	-	-	-	-	-
44		evento/pedRegEvento/infPedReg/	e101103	O Sistema Nacional NFS-e deve responder à recepção do EVENTO DE SOLICITAÇÃO DE ANÁLISE FISCAL PARA CANCELAMENTO DE NFS-e, conforme indicado nas linhas da respectiva coluna deste evento na planilha "RN EVENTOSxEVENTOS - Sistema Nacional NFS-e".			Rej.	E0848	O Sistema Nacional NFS-e não pode recepecionar o EVENTO DE SOLICITAÇÃO DE ANÁLISE FISCAL PARA CANCELAMENTO DE NFS-e pois, o evento de <nome_evento_vinculado_a_NFS-e> já está vinculado à NFS-e indicada no evento enviado, impedindo sua recepção.	1	V	V	V	V	-
45		evento/pedRegEvento/infPedReg/e101103/	xDesc	-			-	-	-	-	-	-	-	-	-
46		evento/pedRegEvento/infPedReg/e101103/	cMotivo	-			-	-	-	-	-	-	-	-	-
47		evento/pedRegEvento/infPedReg/e101103/	xMotivo	-			-	-	-	-	-	-	-	-	-
48		evento/pedRegEvento/infPedReg/	e105104	Não é permitida a recepção do deferimento de uma solicitação de cancelamento por análise fiscal sem que haja um Evento de Solicitação de Análise Fiscal para Cancelamento de NFS-e, que esteja pendente de deferimento ou indeferimento.			Rej.	E0853	O Sistema Nacional NFS-e não pode recepecionar o EVENTO DE CANCELAMENTO DE NFS-e DEFERIDO POR ANÁLISE FISCAL pois não existe um EVENTO DE SOLICITAÇÃO DE ANÁLISE FISCAL PARA CANCELAMENTO DE NFS-e pendente para deferimento ou indeferimento.	1	V	V	V	V	-
